AZN, phase3, 2021-08-20, 
NVS, phase3, 2021-08-23, 
PFE, phase3, 2021-08-30, 
TAK, phase3, 2021-09-01, 
AMGN, phase3, 2021-09-05, 
AZN, phase3, 2021-09-05, 
TBPH, phase3, 2021-09-15, 
BMY, phase3, 2021-09-16, 
EXEL, phase3, 2021-09-16, 
BMY, phase3, 2021-09-16, 
MGNX, phase3, 2021-09-16, 
JNJ, phase3, 2021-09-16, 
AZN, phase3, 2021-09-17, 
CHRS, phase3, 2021-09-17, 
PFE, phase3, 2021-09-17, 
AZN, phase3, 2021-09-18, 
REGN, phase3, 2021-09-19, 
SNY, phase3, 2021-09-19, 
MRK, phase3, 2021-09-19, 
TGTX, phase3, 2021-09-20, 
EXEL, phase3, 2021-09-20, 
TAK, phase3, 2021-09-20, 
PCRX, phase3, 2021-09-21, 
JNJ, phase3, 2021-09-21, 
DVAX, phase3, 2021-09-22, 
GSK, phase3, 2021-09-22, 
PFE, phase3, 2021-09-27, 
BHVN, phase3, 2021-09-27, 
IVVD, phase3, 2021-09-29, 
PFE, phase3, 2021-09-29, 
ABBV, phase3, 2021-09-30, 
ARQT, phase3, 2021-09-30, 
RHHBY, phase3, 2021-09-30, 
REGN, phase3, 2021-09-30, 
FRTX, phase3, 2021-10-07, 
FRTX, phase3, 2021-10-07, 
OTLK, phase3, 2021-10-12, 
CVAC, phase3, 2021-10-12, 
BIIB, phase3, 2021-10-13, 
NRXP, phase3, 2021-10-14, 
EDSA, phase3, 2021-10-19, 
BIIB, phase3, 2021-10-20, 
OBSV, phase3, 2021-10-20, 
OBSV, phase3, 2021-10-20, 
OBSV, phase3, 2021-10-20, 
UTHR, phase3, 2021-10-21, 
MRK, phase3, 2021-10-25, 
NVS, phase3, 2021-10-25, 
ERYP, phase3, 2021-10-25, 
NVS, phase3, 2021-10-26, 
ELTX, phase3, 2021-10-26, 
RFL, phase3, 2021-10-28, 
SNY, phase3, 2021-10-29, 
ATRA, phase3, 2021-11-04, 
ALNY, phase3, 2021-11-05, 
RVNC, phase3, 2021-11-09, 
QNCX, phase3, 2021-11-11, 
SRNE, phase3, 2021-11-12, 
GYRE, phase3, 2021-11-12, 
ADTX, phase3, 2021-11-12, 
IONS, phase3, 2021-11-13, 
MIST, phase3, 2021-11-15, 
AMRN, phase3, 2021-11-16, 
AZN, phase3, 2021-11-18, 
ATNXQ, phase3, 2021-11-22, 
ABBV, phase3, 2021-11-30, 
ATNF, phase3, 2021-12-01, 
MOR, phase3, 2021-12-11, 
AZN, phase3, 2021-12-12, 
ABBV, phase3, 2021-12-13, 
INO, phase3, 2021-12-14, 
CNTA, phase3, 2021-12-14, 
GSK, phase3, 2021-12-15, 
SNY, phase3, 2021-12-15, 
ALLK, phase3, 2021-12-21, 
ALLK, phase3, 2021-12-21, 
KNSA, phase3, 2021-12-28, 
MOLN, phase3, 2022-01-10, 
PFE, phase3, 2022-01-12, 
MRK, phase3, 2022-01-18, 
AZN, phase3, 2022-01-18, 
FGEN, phase3, 2022-01-26, 
AVXL, phase3, 2022-02-01, 
VNDA, phase3, 2022-02-04, 
RDHL, phase3, 2022-02-07, 
MRK, phase3, 2022-02-08, 
PFE, phase3, 2022-02-08, 
AZN, phase3, 2022-02-10, 
GILD, phase3, 2022-02-16, 
SAGE, phase3, 2022-02-16, 
BIIB, phase3, 2022-02-16, 
REGN, phase3, 2022-02-18, 
SNY, phase3, 2022-02-18, 
RLMD, phase3, 2022-02-23, 
ABBV, phase3, 2022-02-24, 
BBIO, phase3, 2022-02-28, 
PFE, phase3, 2022-03-01, 
AMPE, phase3, 2022-03-02, 
NCNA, phase3, 2022-03-02, 
EXEL, phase3, 2022-03-14, 
TAK, phase3, 2022-03-14, 
BMY, phase3, 2022-03-14, 
NKTR, phase3, 2022-03-14, 
MRK, phase3, 2022-03-15, 
EIGR, phase3, 2022-03-17, 
ALNA, phase3, 2022-03-18, 
PLX, phase3, 2022-03-18, 
TNXP, phase3, 2022-03-21, 
MRNA, phase3, 2022-03-23, 
ARQT, phase3, 2022-03-25, 
PFE, phase3, 2022-03-29, 
MRK, phase3, 2022-04-01, 
CYTK, phase3, 2022-04-03, 
AMGN, phase3, 2022-04-03, 
BMY, phase3, 2022-04-03, 
ABBV, phase3, 2022-04-05, 
BMY, phase3, 2022-04-11, 
SYRE, phase3, 2022-04-11, 
PRQR, phase3, 2022-04-13, 
NKTR, phase3, 2022-04-14, 
AMGN, phase3, 2022-04-18, 
BGNE, phase3, 2022-04-19, 
OCUP, phase3, 2022-04-28, 
KOD, phase3, 2022-05-03, 
AXGN, phase3, 2022-05-04, 
SRNE, phase3, 2022-05-05, 
XERS, phase3, 2022-05-12, 
HRMY, phase3, 2022-05-13, 
ZYNE, phase3, 2022-05-13, 
AZN, phase3, 2022-05-16, 
GLMD, phase3, 2022-05-17, 
OCUP, phase3, 2022-05-19, 
ATHX, phase3, 2022-05-20, 
ALNY, phase3, 2022-05-23, 
NRXP, phase3, 2022-05-25, 
RLFTF, phase3, 2022-05-25, 
OBSV, phase3, 2022-05-25, 
RVMD, phase3, 2022-05-26, 
PLX, phase3, 2022-05-31, 
BMY, phase3, 2022-06-02, 
NVO, phase3, 2022-06-03, 
NVO, phase3, 2022-06-03, 
PFE, phase3, 2022-06-04, 
LLY, phase3, 2022-06-04, 
RFL, phase3, 2022-06-04, 
CLVS, phase3, 2022-06-06, 
BMY, phase3, 2022-06-06, 
PRAX, phase3, 2022-06-06, 
GILD, phase3, 2022-06-06, 
RVMD, phase3, 2022-06-06, 
BMY, phase3, 2022-06-07, 
RHHBY, phase3, 2022-06-07, 
ALDX, phase3, 2022-06-08, 
TAK, phase3, 2022-06-09, 
RHHBY, phase3, 2022-06-10, 
AGIO, phase3, 2022-06-10, 
PTCT, phase3, 2022-06-21, 
MRNA, phase3, 2022-06-22, 
AZN, phase3, 2022-06-23, 
MDGL, phase3, 2022-06-27, 
JAZZ, phase3, 2022-06-28, 
BGNE, phase3, 2022-06-30, 
HGEN, phase3, 2022-07-06, 
OPTN, phase3, 2022-07-08, 
ALDX, phase3, 2022-07-12, 
HGEN, phase3, 2022-07-13, 
CFRX, phase3, 2022-07-13, 
HRMY, phase3, 2022-07-18, 
ZYNE, phase3, 2022-07-18, 
NTBL, phase3, 2022-07-19, 
MRK, phase3, 2022-07-20, 
VTGN, phase3, 2022-07-22, 
PFE, phase3, 2022-07-28, 
IPHA, phase3, 2022-08-01, 
RHHBY, phase3, 2022-08-01, 
HALO, phase3, 2022-08-01, 
RHHBY, phase3, 2022-08-02, 
ACIU, phase3, 2022-08-02, 
MRK, phase3, 2022-08-03, 
MACK, phase3, 2022-08-03, 
RVMD, phase3, 2022-08-07, 
KRTX, phase3, 2022-08-08, 
NVS, phase3, 2022-08-12, 
NVS, phase3, 2022-08-15, 
SNY, phase3, 2022-08-17, 
DVAX, phase3, 2022-08-30, 
PYPD, phase3, 2022-09-02, 
SVRA, phase3, 2022-09-06, 
BMY, phase3, 2022-09-08, 
EXEL, phase3, 2022-09-08, 
TAK, phase3, 2022-09-08, 
ALLK, phase3, 2022-09-09, 
NVS, phase3, 2022-09-09, 
AMGN, phase3, 2022-09-09, 
MRK, phase3, 2022-09-10, 
AZN, phase3, 2022-09-16, 
JNJ, phase3, 2022-09-18, 
ZLDPF, phase3, 2022-09-19, 
VBIV, phase3, 2022-09-21, 
PCRX, phase3, 2022-09-21, 
PFE, phase3, 2022-09-29, 
BHVN, phase3, 2022-09-29, 
ZLDPF, phase3, 2022-09-30, 
APLS, phase3, 2022-09-30, 
NVO, phase3, 2022-10-03, 
EVFM, phase3, 2022-10-12, 
RLMD, phase3, 2022-10-13, 
SRPT, phase3, 2022-10-14, 
SAGE, phase3, 2022-10-17, 
BIIB, phase3, 2022-10-17, 
EYEN, phase3, 2022-10-20, 
SMMT, phase3, 2022-10-20, 
TCDA, phase3, 2022-10-24, 
MIRM, phase3, 2022-10-24, 
SCYX, phase3, 2022-10-24, 
ABBV, phase3, 2022-10-24, 
AZN, phase3, 2022-10-25, 
ANIK, phase3, 2022-11-01, 
AIMD, phase3, 2022-11-03, 
PFE, phase3, 2022-11-04, 
BNTX, phase3, 2022-11-04, 
LXRX, phase3, 2022-11-05, 
GSK, phase3, 2022-11-07, 
NVAX, phase3, 2022-11-08, 
NWBO, phase3, 2022-11-17, 
VAXX, phase3, 2022-12-02, 
RLMD, phase3, 2022-12-07, 
ABBV, phase3, 2022-12-10, 
RIGL, phase3, 2022-12-12, 
BLUE, phase3, 2022-12-12, 
RHHBY, phase3, 2022-12-12, 
PRTA, phase3, 2022-12-12, 
JAZZ, phase3, 2022-12-12, 
BYSI, phase3, 2022-12-13, 
BYSI, phase3, 2022-12-13, 
AZN, phase3, 2022-12-19, 
VNDA, phase3, 2022-12-19, 
LGND, phase3, 2022-12-20, 
VRNA, phase3, 2022-12-20, 
ACST, phase3, 2022-12-28, 
PFE, phase3, 2022-12-29, 
RDHL, phase3, 2023-01-03, 
PHAT, phase3, 2023-01-08, 
OCGN, phase3, 2023-01-09, 
BFRI, phase3, 2023-01-09, 
ORMP, phase3, 2023-01-12, 
AZN, phase3, 2023-01-26, 
MESO, phase3, 2023-02-08, 
GTHX, phase3, 2023-02-13, 
TRML, phase3, 2023-02-16, 
TAK, phase3, 2023-02-18, 
MRK, phase3, 2023-02-21, 
GSK, phase3, 2023-02-23, 
ALPMY, phase3, 2023-03-01, 
JNJ, phase3, 2023-03-01, 
INO, phase3, 2023-03-01, 
DVAX, phase3, 2023-03-02, 
VALN, phase3, 2023-03-02, 
EXEL, phase3, 2023-03-03, 
AMGN, phase3, 2023-03-04, 
NVIV, phase3, 2023-03-09, 
ROIV, phase3, 2023-03-15, 
ABBV, phase3, 2023-03-18, 
BMY, phase3, 2023-03-20, 
KRTX, phase3, 2023-03-20, 
PRTC, phase3, 2023-03-20, 
RHHBY, phase3, 2023-03-20, 
RNAC, phase3, 2023-03-21, 
IVVD, phase3, 2023-03-23, 
REGN, phase3, 2023-03-23, 
MRK, phase3, 2023-03-23, 
NLSP, phase3, 2023-03-27, 
MNPR, phase3, 2023-03-27, 
TAK, phase3, 2023-03-30, 
AKBA, phase3, 2023-04-03, 
ONCT, phase3, 2023-04-03, 
IFRX, phase3, 2023-04-04, 
MRK, phase3, 2023-04-07, 
MRK, phase3, 2023-04-07, 
AMGN, phase3, 2023-04-10, 
RHHBY, phase3, 2023-04-17, 
AVIR, phase3, 2023-04-17, 
JNJ, phase3, 2023-04-18, 
NVS, phase3, 2023-04-20, 
STSA, phase3, 2023-04-21, 
ABBV, phase3, 2023-04-21, 
VTRS, phase3, 2023-04-24, 
BLTE, phase3, 2023-04-25, 
SABS, phase3, 2023-04-26, 
EQ, phase3, 2023-04-26, 
OVID, phase3, 2023-04-27, 
TAK, phase3, 2023-04-27, 
SNGX, phase3, 2023-05-04, 
ACST, phase3, 2023-05-08, 
LLY, phase3, 2023-05-08, 
GSK, phase3, 2023-05-12, 
ROIV, phase3, 2023-05-16, 
XFOR, phase3, 2023-05-16, 
PTCT, phase3, 2023-05-17, 
FGEN, phase3, 2023-05-18, 
ACHV, phase3, 2023-05-23, 
PTCT, phase3, 2023-05-23, 
BMY, phase3, 2023-05-24, 
BPTS, phase3, 2023-05-25, 
BTAI, phase3, 2023-05-25, 
VNDA, phase3, 2023-05-25, 
PFE, phase3, 2023-06-01, 
PFE, phase3, 2023-06-01, 
ZLAB, phase3, 2023-06-01, 
GERN, phase3, 2023-06-02, 
MRK, phase3, 2023-06-02, 
CHRS, phase3, 2023-06-03, 
CHRS, phase3, 2023-06-03, 
BLPH, phase3, 2023-06-05, 
BMY, phase3, 2023-06-05, 
COGT, phase3, 2023-06-05, 
BGNE, phase3, 2023-06-05, 
CHRS, phase3, 2023-06-06, 
FGEN, phase3, 2023-06-07, 
PRFX, phase3, 2023-06-08, 
NVS, phase3, 2023-06-09, 
NVS, phase3, 2023-06-10, 
TAK, phase3, 2023-06-10, 
EGRX, phase3, 2023-06-14, 
IOBT, phase3, 2023-06-14, 
MRSN, phase3, 2023-06-15, 
ABBV, phase3, 2023-06-15, 
ALDX, phase3, 2023-06-15, 
STSA, phase3, 2023-06-17, 
MRK, phase3, 2023-06-20, 
CYTK, phase3, 2023-06-20, 
ARDS, phase3, 2023-06-20, 
DMAC, phase3, 2023-06-21, 
GILD, phase3, 2023-06-23, 
LLY, phase3, 2023-06-24, 
FGEN, phase3, 2023-06-26, 
FGEN, phase3, 2023-06-26, 
KPTI, phase3, 2023-06-28, 
BTAI, phase3, 2023-06-29, 
RNXT, phase3, 2023-06-29, 
PTCT, phase3, 2023-06-29, 
EIGR, phase3, 2023-06-29, 
DERM, phase3, 2023-07-11, 
ADIL, phase3, 2023-07-11, 
AMGN, phase3, 2023-07-14, 
ZLAB, phase3, 2023-07-14, 
LLY, phase3, 2023-07-17, 
GILD, phase3, 2023-07-21, 
KOD, phase3, 2023-07-24, 
KPTI, phase3, 2023-07-25, 
AQST, phase3, 2023-07-27, 
LLY, phase3, 2023-07-27, 
LGND, phase3, 2023-07-27, 
MRK, phase3, 2023-07-27, 
PFE, phase3, 2023-07-27, 
BHVN, phase3, 2023-07-27, 
URGN, phase3, 2023-07-27, 
IONS, phase3, 2023-07-31, 
ARAV, phase3, 2023-08-02, 
SAGE, phase3, 2023-08-07, 
VTGN, phase3, 2023-08-07, 
OCS, phase3, 2023-08-08, 
NVS, phase3, 2023-08-15, 
CMRX, phase3, 2023-08-16, 
IMAB, phase3, 2023-08-17, 
MRK, phase3, 2023-08-17, 
HCM, phase3, 2023-08-21, 
GILD, phase3, 2023-08-21, 
RHHBY, phase3, 2023-08-23, 
MRK, phase3, 2023-08-25, 
ESPR, phase3, 2023-08-26, 
TBPH, phase3, 2023-08-28, 
NVCR, phase3, 2023-08-28, 
NVS, phase3, 2023-08-28, 
LIAN, phase3, 2023-08-28, 
NBIX, phase3, 2023-08-29, 
FGEN, phase3, 2023-08-29, 
ADCT, phase3, 2023-08-31, 
FULC, phase3, 2023-09-08, 
CING, phase3, 2023-09-09, 
BMY, phase3, 2023-09-11, 
VERU, phase3, 2023-09-11, 
CRNX, phase3, 2023-09-11, 
MRK, phase3, 2023-09-11, 
AZN, phase3, 2023-09-11, 
AZN, phase3, 2023-09-12, 
EIGR, phase3, 2023-09-12, 
MRNA, phase3, 2023-09-13, 
BMY, phase3, 2023-09-14, 
PFE, phase3, 2023-09-14, 
BHVN, phase3, 2023-09-14, 
AVXL, phase3, 2023-09-14, 
TCON, phase3, 2023-09-18, 
ABBV, phase3, 2023-09-18, 
SAVA, phase3, 2023-09-18, 
ALPMY, phase3, 2023-09-19, 
ARQT, phase3, 2023-09-19, 
RLMD, phase3, 2023-09-20, 
MESO, phase3, 2023-09-21, 
CBAY, phase3, 2023-09-21, 
MRK, phase3, 2023-09-22, 
MRK, phase3, 2023-09-22, 
SLNO, phase3, 2023-09-26, 
VERU, phase3, 2023-09-26, 
YS, phase3, 2023-09-26, 
ABBV, phase3, 2023-09-28, 
RHHBY, phase3, 2023-09-29, 
ABBV, phase3, 2023-09-29, 
LGND, phase3, 2023-10-02, 
PRAX, phase3, 2023-10-02, 
NVTA, phase3, 2023-10-02, 
TAK, phase3, 2023-10-02, 
NVS, phase3, 2023-10-02, 
MIRM, phase3, 2023-10-02, 
GALT, phase3, 2023-10-03, 
RHHBY, phase3, 2023-10-04, 
VCYT, phase3, 2023-10-04, 
NBIX, phase3, 2023-10-05, 
ANAB, phase3, 2023-10-09, 
ATHX, phase3, 2023-10-10, 
RHHBY, phase3, 2023-10-11, 
HALO, phase3, 2023-10-11, 
RIGL, phase3, 2023-10-11, 
LLY, phase3, 2023-10-12, 
TRVI, phase3, 2023-10-13, 
INCY, phase3, 2023-10-13, 
KOD, phase3, 2023-10-13, 
KOD, phase3, 2023-10-13, 
KOD, phase3, 2023-10-13, 
ABBV, phase3, 2023-10-16, 
BNOX, phase3, 2023-10-16, 
OMER, phase3, 2023-10-16, 
NVCR, phase3, 2023-10-16, 
ZLAB, phase3, 2023-10-16, 
MOR, phase3, 2023-10-16, 
JNJ, phase3, 2023-10-16, 
BMY, phase3, 2023-10-17, 
RHHBY, phase3, 2023-10-18, 
TAK, phase3, 2023-10-18, 
MRK, phase3, 2023-10-20, 
MRK, phase3, 2023-10-20, 
MRK, phase3, 2023-10-20, 
BMY, phase3, 2023-10-21, 
BGNE, phase3, 2023-10-21, 
LLY, phase3, 2023-10-21, 
PFE, phase3, 2023-10-21, 
ALPMY, phase3, 2023-10-21, 
BMY, phase3, 2023-10-22, 
AZN, phase3, 2023-10-23, 
IMNM, phase3, 2023-10-23, 
EXEL, phase3, 2023-10-23, 
PFE, phase3, 2023-10-23, 
GMAB, phase3, 2023-10-23, 
NVS, phase3, 2023-10-23, 
AZN, phase3, 2023-10-23, 
AZN, phase3, 2023-10-23, 
BMY, phase3, 2023-10-23, 
BGNE, phase3, 2023-10-23, 
AXSM, phase3, 2023-10-24, 
MRNA, phase3, 2023-10-24, 
JNJ, phase3, 2023-10-24, 
JNJ, phase3, 2023-10-24, 
GSK, phase3, 2023-10-25, 
SAVA, phase3, 2023-10-25, 
BIIB, phase3, 2023-10-25, 
DCPH, phase3, 2023-10-30, 
RVPH, phase3, 2023-10-30, 
CVM, phase3, 2023-10-30, 
LIAN, phase3, 2023-10-30, 
AMGN, phase3, 2023-10-31, 
KTRA, phase3, 2023-10-31, 
PFE, phase3, 2023-10-31, 
